Date,Activity,Distance (miles),Pace/Mile,Time,Heart Rate Avg
2024-03-24,Run,4.98,9:28,0:47:12,N/A
2024-03-22,Run,2.75,8:46,0:24:07,N/A
2024-03-21,Run,4.39,8:40,0:38:05,N/A
2024-03-19,Run,2.37,8:46,0:20:48,N/A
2024-03-17,Ride,2.72,8:30,0:23:10,N/A
2024-03-17,Run,2.42,7:35,0:18:22,N/A
2024-03-16,Ride,2.34,7:45,0:18:09,N/A
2024-03-16,Run,2.02,8:14,0:16:36,N/A
2024-03-15,Ride,6.5,6:15,0:40:40,N/A
2024-03-13,Run,3.84,9:36,0:36:52,N/A
2024-03-09,Run,3.88,9:31,0:36:57,N/A
2024-02-27,Run,3.17,8:53,0:28:10,N/A
2024-02-26,Ride,5.08,5:33,0:28:17,N/A
2024-02-24,Swim,0.34,43:15,0:14:47,N/A
2024-02-24,Ride,9.32,5:04,0:47:22,N/A
2024-02-19,Ride,2.33,6:33,0:15:16,N/A
2024-02-19,Run,3.66,9:26,0:34:32,N/A
2024-02-16,Run,4.27,8:43,0:37:13,N/A
2024-02-15,Run,2.31,9:16,0:21:27,N/A
2024-02-14,Run,1.16,7:26,0:08:36,N/A
2024-02-10,AlpineSki,11.74,5:34,1:05:24,N/A
2024-02-09,AlpineSki,5.97,6:57,0:41:30,N/A
2024-02-06,Run,3.38,8:31,0:28:46,N/A
2024-02-04,Run,7.29,9:51,1:11:51,N/A
2024-02-01,Run,4.56,8:39,0:39:30,N/A
2024-01-30,Run,4.15,9:03,0:37:31,N/A
2024-01-27,Run,7.23,9:05,1:05:46,N/A
2024-01-25,Run,5.02,9:06,0:45:45,N/A
2024-01-21,Hike,4.74,25:41,2:01:47,N/A
2024-01-20,Run,4.01,9:17,0:37:14,N/A
2024-01-19,Ride,7.05,8:50,1:02:20,N/A
2024-01-14,Run,6.01,8:56,0:53:46,N/A
2024-01-13,Run,3.51,9:24,0:33:01,N/A
2024-01-13,Run,4.09,8:53,0:36:23,N/A
2024-01-11,Run,4.37,9:03,0:39:31,N/A
2024-01-09,Run,4.11,8:41,0:35:45,N/A
2024-01-07,Run,4.39,8:57,0:39:19,N/A
2024-01-06,Run,5.35,8:46,0:46:57,N/A
2024-01-03,Run,2.43,8:33,0:20:47,N/A
2024-01-01,Run,1.57,28:30,0:44:38,N/A
2023-12-30,Run,2.24,29:56,1:07:10,N/A
2023-12-28,Run,6.02,9:14,0:55:38,N/A
2023-12-26,Run,4.18,8:33,0:35:48,N/A
2023-12-24,Run,6.01,8:27,0:50:49,N/A
2023-12-21,Run,4.26,9:16,0:39:29,N/A
2023-12-19,Run,5.13,8:27,0:43:22,N/A
2023-12-17,Run,2.63,8:28,0:22:16,N/A
2023-12-16,Run,4.33,8:25,0:36:31,N/A
2023-12-14,Run,4.37,8:44,0:38:12,N/A
2023-12-12,Run,4.16,9:00,0:37:31,N/A
2023-12-09,Run,4.59,9:29,0:43:36,N/A
2023-12-06,Run,4.53,9:18,0:42:09,N/A
2023-12-04,Run,6.06,8:28,0:51:23,N/A
2023-12-02,Run,6.04,9:10,0:55:24,N/A
2023-12-01,Run,2.39,7:44,0:18:29,N/A
2023-11-29,Run,6.01,8:48,0:52:56,N/A
2023-11-27,Run,4.3,8:27,0:36:23,N/A
2023-11-23,Run,7.01,8:42,1:01:03,N/A
2023-11-21,Run,4.27,9:09,0:39:05,N/A
2023-11-19,Run,7.0,9:18,1:05:09,N/A
2023-11-18,Run,4.28,9:13,0:39:31,N/A
2023-11-16,Run,5.58,9:05,0:50:47,N/A
2023-11-14,Run,4.71,9:15,0:43:34,N/A
2023-11-12,Run,9.42,9:39,1:30:54,N/A
2023-11-11,Run,6.01,8:45,0:52:35,N/A
2023-11-09,Run,6.05,9:27,0:57:13,N/A
2023-11-07,Run,2.44,9:25,0:22:59,N/A
2023-11-03,Run,6.01,8:54,0:53:30,N/A
2023-11-02,Run,2.16,9:02,0:19:32,N/A
2023-10-31,Run,5.04,9:49,0:49:33,N/A
2023-10-29,Run,4.6,9:50,0:45:16,N/A
2023-10-28,Run,5.16,9:31,0:49:07,N/A
2023-10-26,Run,3.01,8:01,0:24:09,N/A
2023-10-22,Run,7.01,10:09,1:11:14,N/A
2023-10-15,Run,14.01,9:37,2:14:46,N/A
2023-10-15,Run,0.21,9:43,0:02:03,N/A
2023-10-12,Run,2.47,8:10,0:20:10,N/A
2023-09-28,Run,4.3,9:13,0:39:38,N/A
2023-09-26,Run,4.18,9:30,0:39:46,N/A
2023-09-24,Run,10.01,9:48,1:38:15,N/A
2023-09-23,Run,7.02,8:48,1:01:50,N/A
2023-09-22,Run,3.36,8:33,0:28:45,N/A
2023-09-20,Run,3.73,8:49,0:32:56,N/A
2023-09-19,Run,4.34,8:58,0:38:59,N/A
2023-09-14,Run,4.01,10:07,0:40:38,N/A
2023-09-12,Run,4.2,8:46,0:36:52,N/A
2023-09-10,Run,5.53,8:52,0:49:03,N/A
2023-09-09,Run,5.29,9:25,0:49:50,N/A
